Token,Coefficient
aa,-0.01
aaa,-0.0
aaaa,0.0
aaaaaa,0.0
aaaaaaa,0.0
aaaaaaaaaaaaaaaa,0.0
aaaaaaaaaaaaaaaaaaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnuauauauauauauauauaauauauauauuaauau,0.0
aaaaannn,0.0
aaaafter,0.0
aaaannnnnnnn,0.0
aaaapproval,0.0
aaaccc,0.0
aaah,0.0
aaalac,0.0
aaas,0.0
aaau,0.0
aabb,0.0
aac,0.0
aaccccuummuullaatteedd,-0.01
aaccttiivviittiieess,-0.04
aaccttiivviittyy,-0.01
aacd,0.0
aacf,0.0
aachen,0.01
aachener,0.0
aachenwuppertalmülheim,-0.0
aacr,0.0
aad,0.0
aaddddiittiioonnaall,0.0
aaddddiittiioonns,0.0
aaddjjuusstteeddppuurrcchhaasseepprriiccee,0.0
aadhaar,0.0
aadorf,-0.01
aadr,0.0
aadtländerli,0.0
aae,0.0
aafp,0.0
aaggmm,0.0
aahlidhra,0.0
aai,0.0
aaib,0.0
aaj,0.0
aaland,0.01
aalbert,0.0
aalborg,0.0
aalen,0.0
aalexandra,0.0
aaliyah,0.0
aallll,0.0
aalltteerrnnaattiivvee,0.0
aalst,0.0
aalstad,0.0
aalto,0.0
aam,-0.01
aammoorrttiissaattiioonn,-0.03
aamodt,0.0
aamot,0.0
aan,0.0
aanalytic,0.0
aandeel,0.0
aandrea,0.0
aania,0.0
aanndd,-0.06
aannnnuuaall,0.0
aao,0.0
aaom,0.0
aaos,0.0
aap,0.0
aapa,0.0
aar,0.0
aarambh,0.0
aarated,0.0
aarau,0.02
aarauer,0.0
aarauerstrasse,0.0
aarberg,0.0
aarbergen,0.0
aarburg,-0.01
aarburgerstrasse,0.0
aare,-0.04
aarehus,0.0
aarepark,0.0
aarewerke,-0.0
aargau,-0.02
aargauer,0.0
aargauische,-0.0
aarhu,0.0
aarhus,0.0
aaria,0.0
aaron,0.0
aaronco,0.0
aarp,0.0
aarpharma,0.0
aart,0.0
aashima,0.0
aasociate,0.0
aasssseettss,-0.12
aastra,0.0
aat,0.0
aatb,0.0
aatd,0.0
aathal,0.0
aatrex,0.0
aatt,-0.1
aauuddiitt,0.0
aav,0.0
ab,-0.01
aba,0.0
ababa,0.0
abac,0.0
abaca,0.0
abacavir,0.0
abacus,-0.0
abad,0.0
abadia,0.0
abaisser,-0.0
abakan,0.0
abalec,0.0
abamectin,0.0
abandon,-0.01
abandonment,-0.01
abandonné,0.0
abandonnée,-0.01
abandonnées,-0.01
abanka,0.0
abantis,0.0
abanza,0.0
abasis,0.0
abasolo,0.0
abasov,0.0
abatacept,0.0
abate,-0.01
abatec,0.0
abatement,0.0
abattoir,-0.01
abavent,0.0
abaxx,0.0
abb,0.09
abbannual,0.0
abbassi,0.0
abbau,0.0
abbaye,0.0
abbeq,0.0
abberufungsanträge,0.0
abbestate,0.0
abbeville,0.0
abbey,0.0
abbn,0.0
abbne,0.0
abbot,0.0
abbott,0.0
abbreviate,0.01
abbreviated,0.0
abbreviation,0.02
abbruch,0.0
abbspecific,0.0
abbssi,0.0
abbvie,0.0
abby,0.0
abbé,0.0
abbühl,0.0
abc,-0.01
abcc,0.0
abcdefg,0.0
abcp,0.0
abd,0.0
abda,0.0
abdallah,0.0
abdecken,0.0
abdecklack,-0.0
abdelaziz,0.0
abdelfattah,0.0
abdelhamid,0.02
abdelkrim,0.0
abderhalden,0.0
abdessamad,0.0
abdi,0.0
abdichtungssysteme,0.0
abdifatah,0.0
abdiskontieren,0.0
abdiskontierten,0.0
abdiwahab,0.0
abdoman,0.0
abdomen,0.0
abdominal,0.0
abdoulkadir,0.0
abdul,-0.04
abdulakh,0.0
abdulla,0.0
abdullah,0.0
abe,0.0
abeba,0.0
abedin,0.0
abee,0.0
abegg,0.03
abel,0.0
abell,0.0
abelló,0.0
abelson,0.0
abend,0.0
abendtechnikum,0.0
abenteuer,-0.0
abeparvovec,0.0
aber,0.0
abercrombie,0.0
aberdeen,-0.01
aberdeenshire,-0.01
aberislamic,0.0
abernethy,0.0
aberrant,0.0
aberration,0.0
abertis,0.0
abeta,0.0
abetare,0.0
abetting,0.0
abeyta,0.0
abf,0.0
abfall,0.0
abfallartenverteilung,0.0
abfallbörse,0.0
abfallstoffen,0.0
abfertigung,0.0
abflachen,0.0
abfluss,0.0
abformmaterialien,0.01
abformung,0.0
abfüllt,0.0
abg,-0.0
abgabe,0.0
abgang,0.0
abge,0.0
abgebaut,0.0
abgeben,0.0
abgebildet,0.0
abgedeckt,0.0
abgefüllt,0.0
abgegeben,0.0
abgegebene,0.0
abgegebenen,0.0
abgegrenzt,0.0
abgegrenzten,0.0
abgehalten,0.0
abgelaufen,0.0
abgelaufene,0.0
abgelaufenen,-0.0
abgelehnt,0.0
abgenomman,-0.01
abgerufen,0.0
abgeschlossen,-0.0
abgeschlossene,0.0
abgeschlossenen,0.0
abgeschnitten,0.0
abgeschrieben,0.0
abgeschriebenen,0.0
abgeschwächt,0.0
abgesehen,0.0
abgesetzt,0.0
abgesetzten,0.0
abgesicherte,0.0
abgesicherten,0.0
abgestimmt,0.0
abgestimmte,0.0
abgestimmten,0.0
abgestützt,0.0
abgestützte,0.0
abgetreten,0.0
abgewickelt,0.0
abgewiesen,0.0
abgezogen,0.0
abgibt,0.0
abgleichung,0.0
abgottspon,0.0
abgrenzung,0.0
abgrenzungen,0.0
abgu,0.0
abgänge,0.0
abhalten,0.0
abheben,0.0
abhebt,0.0
abhijit,0.0
abhinav,0.0
abhishek,0.0
abhält,0.0
abhängen,0.0
abhängig,0.0
abhängige,0.0
abhängigkeit,0.0
abhängt,0.0
abi,-0.04
abia,0.0
abicipar,0.0
abid,0.0
abide,0.0
abiding,0.0
abidjan,0.0
abierto,0.0
abieta,0.0
abijan,0.0
abiko,0.0
abil,0.0
abilene,0.0
abili,0.0
abilio,0.0
abilis,0.01
ability,0.01
abilityto,0.0
abilitytransparencygrowthcompany,0.0
abilji,0.0
abill,0.0
abimbola,0.0
abimo,0.0
abinde,0.0
abingworth,0.01
abionic,0.0
abiotic,0.0
abiquim,0.0
abiraterone,0.0
abitur,0.0
abj,0.0
abject,0.0
abkehr,0.0
abklärung,0.0
abklärungen,0.0
abkühlung,0.0
abl,0.0
abla,0.0
ablate,0.0
ablating,0.0
ablation,0.01
ablauf,0.0
ablaufdatum,0.0
ablaza,0.0
able,-0.1
ablebodie,0.0
ablehnen,0.0
ablehnung,0.0
ableness,-0.0
ableto,0.0
abletoacquirevariousnewcustomerswithnewoemcustomer,0.0
ablett,0.0
ablize,0.0
abloy,0.0
ablue,0.0
ably,0.01
ablynx,0.0
