Token,Coefficient
aachen,0.01
aaland,0.01
aarau,0.02
abb,0.09
abbreviate,0.01
abbreviation,0.02
abdelhamid,0.02
abegg,0.03
abformmaterialien,0.01
abilis,0.01
ability,0.01
abingworth,0.01
ablation,0.01
ably,0.01
abo,0.03
abolish,0.02
abolition,0.01
abovementione,0.01
absence,0.01
absent,0.01
absentee,0.01
absolute,0.03
absolve,0.01
absorber,0.04
absorption,0.01
abstention,0.01
abuse,0.01
abutment,0.01
abzugeben,0.01
ac,0.11
aca,0.01
academy,0.01
acc,0.02
accarda,0.02
accelerated,0.01
accelerator,0.01
access,0.07
accident,0.04
accommodation,0.02
accordance,0.04
accountability,0.01
accrete,0.01
accretion,0.01
accum,0.01
accuracy,0.03
ach,0.02
achermann,0.01
achievement,0.06
achèvement,0.01
acid,0.02
acity,0.01
acknowledge,0.01
acoustic,0.06
acoustics,0.01
acquire,0.03
acquiree,0.01
acquirer,0.04
acreage,0.01
acrylamide,0.01
acrylic,0.01
acs,0.02
actelion,0.11
actifs,0.01
action,0.02
actionnaire,0.01
actionnaires,0.01
activator,0.01
active,0.06
activepos,0.01
activestock,0.01
actual,0.02
actuality,0.01
actually,0.01
actuarial,0.13
actuarially,0.01
actuary,0.01
actuate,0.01
acute,0.01
ad,0.03
adair,0.01
addiction,0.01
addiment,0.01
addition,0.04
additionally,0.04
additive,0.2
additives,0.01
address,0.03
addressfair,0.02
adecco,0.35
adequately,0.01
adextra,0.01
adhesion,0.01
adhesive,0.19
adhesives,0.02
adhäsion,0.01
adia,0.01
adilan,0.01
adj,0.02
adjust,0.04
adjustiert,0.01
adler,0.01
administrate,0.01
administrative,0.01
admissibility,0.01
admission,0.02
admittedly,0.01
admixture,0.03
adonite,0.01
adr,0.04
adrienne,0.01
adsl,0.02
adss,0.08
adtranz,0.01
adv,0.01
advance,0.02
advanced,0.02
adverse,0.03
adversely,0.03
advertise,0.01
advertised,0.01
advertisement,0.02
advertiser,0.02
advertising,0.16
advico,0.01
advise,0.02
advisor,0.01
advisory,0.06
advocate,0.01
aegis,0.01
aegypti,0.01
aerial,0.01
aero,0.01
aerodynamic,0.01
aeschbach,0.01
aeschbachhalle,0.01
aesthetic,0.01
aew,0.02
afc,0.04
affair,0.01
affectation,0.01
affentranger,0.02
affichage,0.3
afg,0.14
aforementioned,0.01
africa,0.1
afs,0.01
afﬁliate,0.03
afﬁliated,0.01
agar,0.01
agarbonia,0.01
age,0.05
ageeth,0.02
agement,0.02
agence,0.01
agency,0.04
ager,0.01
aggregate,0.07
aggurit,0.01
agi,0.01
agie,0.05
agility,0.01
aging,0.02
agjürg,0.01
agm,0.02
agne,0.01
agnote,0.01
ago,0.01
agreport,0.01
agri,0.01
agricultural,0.04
agriculture,0.02
agrisure,0.01
agro,0.01
agrochemical,0.01
agta,0.01
agua,0.02
ahvv,0.02
ai,0.02
aid,0.02
aig,0.01
aigle,0.01
aip,0.04
aircraft,0.02
airfreight,0.01
airplane,0.01
airport,0.02
ajilon,0.04
ajustement,0.01
akermann,0.01
akila,0.01
aktie,0.02
aktien,0.01
aktiengesellschaften,0.02
akustische,0.01
al,0.01
alan,0.01
alarm,0.01
alarming,0.01
alaska,0.02
alba,0.01
albeit,0.01
albert,0.02
albisriederstrasse,0.01
albrecht,0.01
alcatel,0.01
alde,0.02
alder,0.04
alecta,0.01
alert,0.01
alessandro,0.01
alexander,0.06
alexandra,0.01
alfre,0.03
alfred,0.03
algaecide,0.01
alicante,0.01
align,0.01
alike,0.01
alisable,0.01
alitretinoin,0.01
alken,0.01
alkon,0.01
allecra,0.01
allem,0.01
allemann,0.01
allergan,0.01
allergen,0.01
allergic,0.01
allergy,0.02
allergycheck,0.01
alleviation,0.01
allgemeine,0.01
alliancebernstein,0.01
allianz,0.02
alliedtpro,0.01
allison,0.02
allo,0.01
allocable,0.01
allocate,0.12
allocation,0.08
allowance,0.01
allreal,0.01
alma,0.01
almac,0.16
almatronic,0.03
almaty,0.01
alno,0.01
alnova,0.01
alongside,0.01
alptransit,0.01
als,0.01
alstom,0.01
altdorf,0.03
alter,0.02
altered,0.01
alternative,0.03
altin,0.01
altitude,0.01
alto,0.01
altogether,0.01
altorf,0.01
altorfer,0.05
altstätten,0.02
alue,0.01
aluflexpack,0.03
alumina,0.03
aluminium,0.04
alv,0.01
alvarez,0.02
alzenau,0.02
alzheimer,0.01
amacker,0.01
amadora,0.02
amavita,0.01
amb,0.01
ambassador,0.01
amberg,0.01
ambient,0.01
ambition,0.02
ambuja,0.02
amelung,0.01
amend,0.05
amendment,0.07
america,0.09
american,0.02
amfora,0.01
amherst,0.02
ami,0.01
amid,0.01
amidro,0.01
amination,0.01
amine,0.01
amino,0.01
amio,0.01
amir,0.01
amitel,0.01
amman,0.01
ammann,0.01
amond,0.01
amortisable,0.01
amortised,0.03
amortization,0.09
amortize,0.03
amortized,0.02
amos,0.02
amount,0.08
amp,0.01
amphenol,0.01
amriswilerstrasse,0.05
amstutz,0.03
amt,0.01
amti,0.01
américa,0.03
an,0.01
ana,0.01
anaemia,0.01
anaemic,0.01
analog,0.03
analogous,0.01
analogue,0.01
analysis,0.02
analyst,0.02
analytical,0.01
analyze,0.02
analyzer,0.01
ance,0.01
anchor,0.01
ancillary,0.01
anderegg,0.01
andersen,0.01
andersson,0.01
andexpense,0.01
andreade,0.02
andreades,0.01
andrew,0.01
andy,0.03
anforderungen,0.01
ang,0.01
angaben,0.02
angelbachtal,0.01
angelo,0.02
angemessenheit,0.02
angerer,0.01
angewandten,0.01
angkatan,0.01
angle,0.01
angola,0.01
angéloz,0.01
anhang,0.01
anhydride,0.05
anionic,0.01
anita,0.02
anlagenbau,0.01
annabelle,0.01
annagasse,0.01
anne,0.01
annette,0.02
anneyron,0.01
announce,0.03
announcement,0.04
annual,0.39
annualise,0.01
annually,0.08
annum,0.03
années,0.01
anodising,0.01
anoto,0.01
antagonist,0.01
antenna,0.1
anthony,0.01
anti,0.03
antibody,0.02
anticipate,0.02
antidilutive,0.01
antifogge,0.01
antigen,0.01
antimicrobial,0.03
antioxidant,0.02
antiozonant,0.01
antistatic,0.01
antiwear,0.01
anton,0.03
antony,0.01
antrag,0.01
anttila,0.01
antwerp,0.01
antzuola,0.01
anwander,0.01
anwendung,0.01
anytime,0.01
anzeiger,0.03
aoa,0.02
aon,0.01
apac,0.05
apartado,0.01
apartment,0.02
apasco,0.01
apdg,0.01
aperçu,0.01
apex,0.02
apg,0.09
apgtouristic,0.02
apgtraffic,0.02
apgvis,0.01
api,0.01
apis,0.01
apm,0.01
apo,0.01
apolinar,0.01
apotheken,0.01
app,0.03
appartement,0.01
appeal,0.02
appealing,0.01
appearance,0.01
application,0.03
applique,0.01
apply,0.14
appoint,0.01
apportion,0.01
appreciation,0.03
appro,0.01
approach,0.01
approval,0.08
approve,0.02
approves,0.01
approximately,0.06
aprioris,0.02
aprocitentan,0.02
aps,0.02
aqualux,0.05
aqueous,0.01
ar,0.04
arabia,0.01
aration,0.01
arbon,0.02
arbonia,0.23
arcelor,0.01
arch,0.01
archimedesbaan,0.01
architecte,0.02
archroma,0.01
ard,0.01
ardise,0.01
areva,0.01
argenteuil,0.01
arianespace,0.01
arise,0.05
aristea,0.01
arluno,0.01
arm,0.01
armand,0.01
armin,0.05
army,0.01
arnott,0.01
arnoud,0.02
arnsberg,0.01
aromont,0.01
arrange,0.01
arrangement,0.04
arrear,0.01
arrearage,0.01
arrieta,0.01
artemis,0.04
arterial,0.01
arthesia,0.01
arthritis,0.01
article,0.11
artificial,0.01
artisan,0.01
artoleum,0.01
arturo,0.03
arudy,0.01
ary,0.01
aryzta,0.34
arzneimittel,0.01
arzneimittelinfor,0.01
arzneimittelinformation,0.02
asc,0.08
aschmann,0.01
asco,0.01
ascodi,0.01
ascom,0.35
ascometal,0.01
ascor,0.01
ascotherm,0.01
ascribe,0.01
asea,0.01
ashless,0.01
asia,0.07
asking,0.01
asklia,0.02
aspartame,0.01
aspect,0.01
asphalt,0.01
aspire,0.01
aspreva,0.06
asse,0.02
assembled,0.01
asserted,0.01
assess,0.07
assessor,0.01
asset,0.07
assign,0.02
assignment,0.03
assist,0.06
assisted,0.03
associate,0.13
associated,0.03
association,0.1
associées,0.01
asste,0.01
assume,0.02
assumption,0.15
assurance,0.02
assure,0.02
ast,0.01
asthma,0.01
aston,0.01
astrolab,0.19
asu,0.06
atag,0.02
atar,0.01
ateness,0.01
athens,0.01
ati,0.01
atio,0.01
ation,0.03
atlas,0.03
atm,0.01
atmer,0.01
atmospheric,0.01
attainability,0.01
attanasio,0.01
attaro,0.01
attend,0.07
attract,0.02
attractive,0.04
attractiveness,0.01
attrayant,0.01
attri,0.01
attribuable,0.02
attributability,0.01
attributable,0.05
attribution,0.02
attrition,0.01
aub,0.02
aubade,0.11
auburtin,0.02
auch,0.01
auckland,0.02
aud,0.02
audc,0.01
audible,0.01
audience,0.01
audio,0.02
audiology,0.01
audit,0.39
audits,0.02
audureau,0.01
audéo,0.01
auffassung,0.01
aufsichtsrat,0.01
aufstellung,0.01
aufstrebenden,0.01
aufwendungen,0.01
augst,0.02
august,0.04
aulx,0.04
aum,0.05
aus,0.02
ausgewiesen,0.01
ausreichend,0.01
ausschuss,0.01
ausserfeldweg,0.01
ausserrhoden,0.01
austen,0.01
austerity,0.01
australia,0.06
australian,0.01
auteur,0.01
authentic,0.01
authorised,0.02
authority,0.03
authorization,0.08
authorize,0.03
authorized,0.01
auto,0.01
autobörse,0.01
autoimmune,0.02
automate,0.03
automatic,0.04
automix,0.02
automne,0.01
automotive,0.08
autoneum,0.14
autoneumannual,0.01
autoneumfinancial,0.03
autonomous,0.02
autonomy,0.01
autre,0.01
aux,0.03
avansya,0.01
avda,0.01
avec,0.02
average,0.07
avia,0.01
aviation,0.01
avs,0.02
aw,0.01
award,0.11
awr,0.01
axega,0.01
axescumulative,0.01
axis,0.01
axovan,0.03
aylesford,0.01
az,0.01
aziz,0.02
azur,0.01
b,0.11
ba,0.01
babacan,0.04
babenhausen,0.01
babson,0.01
baby,0.03
bach,0.01
bachelor,0.01
bachem,0.46
bachmann,0.01
backdate,0.01
backdrop,0.01
background,0.09
backlit,0.01
backlog,0.04
bacteria,0.03
bacterium,0.01
badeeinrichtungen,0.01
badenerstrasse,0.01
badenstrasse,0.01
badewelten,0.01
badge,0.01
baduscho,0.01
baechler,0.01
baehny,0.02
bagdasarjanz,0.05
bagshot,0.01
bahn,0.01
bahnhof,0.02
bahnhofplatz,0.01
bahnhöheweg,0.01
bahru,0.01
baierbrunner,0.01
baillod,0.01
bajan,0.01
bakery,0.03
bal,0.01
balanced,0.01
balfour,0.01
balgrist,0.01
balinit,0.02
balkanyi,0.02
ballot,0.01
bally,0.01
balsa,0.01
baltus,0.01
baltá,0.01
balzer,0.19
balzers,0.06
bamberger,0.01
ban,0.01
bananastock,0.01
band,0.01
bangkok,0.01
bangladesh,0.01
bankgesellschaft,0.01
bankone,0.01
bankstown,0.01
bannister,0.01
bannwil,0.01
bar,0.03
barandun,0.02
barbado,0.01
barbengo,0.03
barda,0.02
bargaining,0.01
barger,0.01
bark,0.01
barmag,0.01
barnett,0.01
baronian,0.01
barrage,0.01
barreal,0.02
barreau,0.01
barter,0.01
bartsch,0.02
base,0.36
basic,0.04
basilea,0.11
bassewitz,0.02
bastié,0.01
bata,0.01
batigroup,0.11
battery,0.05
baulkham,0.01
bauma,0.01
bauwerk,0.01
baxter,0.01
bałdowska,0.02
bb,0.01
bbc,0.01
bc,0.01
bcg,0.01
bchn,0.01
bd,0.01
beabsichtigt,0.01
beabsichtigten,0.01
beabsichtigter,0.01
beading,0.01
beam,0.01
beatriz,0.01
beatty,0.01
beausoleil,0.01
beauty,0.07
beck,0.01
beco,0.01
bed,0.01
beda,0.01
bedeutsame,0.01
bedeutsamer,0.01
bedeutsamsten,0.01
bedford,0.04
beeck,0.01
begin,0.02
beginningof,0.01
beheer,0.01
bei,0.02
beichen,0.02
beka,0.01
bekon,0.01
belen,0.01
belgacom,0.01
belgian,0.02
belgië,0.01
bellevue,0.01
bellinger,0.01
bellow,0.03
belp,0.01
belpstrasse,0.01
belt,0.08
belting,0.1
benchmark,0.02
beneath,0.01
benedick,0.01
benefi,0.01
beneficial,0.02
beneficiary,0.04
benefit,0.36
beneﬁcial,0.01
beneﬁciary,0.01
beneﬁt,0.06
beneﬁts,0.06
benjamin,0.01
benno,0.01
benteler,0.01
beograd,0.01
bercher,0.03
berchtold,0.02
berg,0.02
bergamin,0.01
bergbahnen,0.01
bergen,0.01
berger,0.01
berghaus,0.01
bergische,0.01
bergqvist,0.01
bericht,0.03
berikon,0.01
berkshire,0.01
berlin,0.01
berlingen,0.01
bermuda,0.03
bern,0.08
bernadette,0.01
bernardo,0.01
bernaud,0.01
berner,0.02
bernerbär,0.01
bernheim,0.01
berriman,0.01
bership,0.01
bertelsmann,0.01
bertrab,0.02
bertrand,0.02
beruflichen,0.01
berücksichtigt,0.01
bes,0.01
besonder,0.01
besteht,0.01
besuchte,0.01
beta,0.02
beteiligungen,0.08
bethel,0.02
betriebsgewinn,0.01
betschon,0.06
betten,0.01
beuchat,0.01
beurteilen,0.01
beurteilung,0.02
beutler,0.01
bevaix,0.01
bevel,0.01
bewg,0.01
beziehungsweise,0.01
bh,0.02
bhac,0.01
bi,0.03
bia,0.01
biana,0.01
bicentenary,0.01
bicester,0.04
bichsel,0.01
bickenbach,0.01
bid,0.02
biedermann,0.01
bielefeld,0.01
bielersee,0.01
bien,0.01
bienne,0.01
bigler,0.01
bijgaarden,0.01
bil,0.01
bilanz,0.01
billboard,0.01
billing,0.01
billion,0.03
billposting,0.01
binder,0.01
bingen,0.01
binz,0.02
bio,0.02
biobank,0.01
biocare,0.01
biochemical,0.01
biochemistry,0.01
biochimie,0.01
biocide,0.01
biocompatible,0.01
bioconversion,0.01
biodiesel,0.01
bioelectronical,0.01
biogen,0.01
biologic,0.02
biological,0.01
biologics,0.01
biology,0.01
biomaterial,0.01
biomedical,0.01
bionas,0.03
biopharma,0.04
biopharmaceutical,0.02
bioreactor,0.01
bioscience,0.02
biosupport,0.01
biotec,0.01
biotech,0.01
biotechnology,0.09
bioventure,0.01
birchstrasse,0.01
bird,0.02
birthday,0.01
biskupsky,0.01
bit,0.01
bite,0.03
bktel,0.11
bkw,0.49
black,0.02
blackburn,0.01
blackrock,0.01
blade,0.01
blair,0.03
blame,0.01
blank,0.01
blankart,0.01
blanket,0.01
blend,0.02
bleness,0.01
blieb,0.01
blind,0.02
blister,0.04
blistering,0.01
blk,0.01
bloch,0.01
block,0.08
blockbuster,0.01
blockchain,0.02
blocking,0.05
blog,0.01
blood,0.04
blouse,0.01
blow,0.01
blown,0.01
bloxer,0.01
blr,0.01
bls,0.01
blt,0.01
bludzien,0.01
bluecare,0.03
blueconnect,0.01
bluetongue,0.01
bluewin,0.01
blum,0.01
blumencron,0.03
bm,0.01
bmc,0.01
bnd,0.01
board,0.02
boas,0.01
boat,0.01
bobnn,0.03
bobsleigh,0.01
bobst,0.28
bod,0.05
bodacher,0.01
bodine,0.01
bodmer,0.1
body,0.03
bogenstrasse,0.01
boghe,0.01
bois,0.02
bolivia,0.01
boller,0.01
bolsover,0.01
bolt,0.05
bombardi,0.02
bon,0.03
bond,0.16
bondholder,0.01
bonding,0.05
bone,0.04
bonetti,0.01
bonia,0.01
bonjour,0.01
bonn,0.01
bookbuilding,0.01
booked,0.01
booking,0.04
boot,0.01
boppe,0.01
border,0.01
borel,0.02
borgeaud,0.01
bornkessel,0.01
borrow,0.04
borter,0.04
bosahri,0.01
bosentan,0.01
bossard,0.02
bosshardt,0.04
bostomatic,0.01
bothorel,0.01
botswana,0.01
bottom,0.01
boundary,0.01
bourg,0.01
bourqui,0.01
boursi,0.01
boursière,0.01
bout,0.01
boveri,0.01
bowel,0.01
box,0.01
boysen,0.02
bozen,0.01
boîte,0.01
bradford,0.01
bradley,0.01
braginsky,0.02
brain,0.01
braine,0.02
braking,0.01
brand,0.05
brandenberg,0.01
brandstrasse,0.01
bratschi,0.02
brazil,0.03
breadth,0.01
breakthrough,0.01
breast,0.01
brechbühl,0.01
breda,0.01
breisgau,0.01
breitenstein,0.01
breman,0.01
brendan,0.01
bretonneux,0.03
breu,0.02
brezelkönig,0.02
brian,0.01
bribery,0.01
bric,0.01
bridge,0.01
bridgehead,0.01
brief,0.05
briefly,0.01
brightener,0.02
briod,0.01
bristol,0.01
brl,0.03
broadband,0.01
broadcast,0.02
broadcasting,0.03
broaden,0.01
broadly,0.01
brodhead,0.01
broglie,0.01
broll,0.01
broncho,0.03
broth,0.02
browne,0.02
broye,0.01
bruehlstrasse,0.01
brugherio,0.01
brukselska,0.01
brumm,0.02
brummelen,0.01
brunei,0.01
brutsch,0.01
brücken,0.01
brügg,0.02
brülhart,0.01
bsci,0.03
bt,0.02
bte,0.01
btmx,0.01
btp,0.01
bu,0.03
bubb,0.05
bubendorf,0.07
buchental,0.02
bucher,0.44
bucuresti,0.02
budakoglu,0.01
budaörs,0.01
budgeted,0.01
budionny,0.01
budry,0.02
buffalo,0.01
buffering,0.01
buhler,0.01
build,0.01
builide,0.01
bulk,0.01
bulletin,0.01
buman,0.01
bund,0.02
bundle,0.01
bur,0.01
burazerovic,0.01
burckhardt,0.16
bureaux,0.01
burgdorf,0.02
burger,0.31
burgess,0.01
burghout,0.01
burglary,0.01
burkard,0.01
burkhard,0.03
burla,0.01
burnier,0.04
burning,0.01
buscher,0.01
butable,0.01
butt,0.01
buttlar,0.02
buy,0.02
buyback,0.02
bv,0.04
bvg,0.06
bx,0.01
bylaw,0.07
bypass,0.01
bâtiment,0.01
bär,0.01
bénéfice,0.05
bénéﬁce,0.01
bévilard,0.01
bögli,0.01
böni,0.01
börsenkotierten,0.01
börsenkur,0.02
bümpliz,0.01
bütler,0.04
cabana,0.01
cabin,0.01
cable,0.17
cablex,0.01
cabling,0.01
cabot,0.01
cabtec,0.01
caccamo,0.01
cadazolid,0.01
cadcam,0.02
cadillac,0.01
cadmium,0.01
cadonau,0.01
cagr,0.02
caille,0.01
cairo,0.01
caisse,0.01
calculate,0.03
calculation,0.05
calendar,0.03
calida,0.38
callable,0.01
calle,0.01
calorie,0.01
cam,0.01
cambodia,0.01
cambrex,0.01
cambridge,0.02
camera,0.01
cameron,0.01
cameroon,0.01
campo,0.01
campos,0.02
canadian,0.02
canal,0.01
canary,0.01
cancel,0.02
cancelable,0.01
cancellation,0.04
cancer,0.02
candidate,0.03
canepa,0.01
cantly,0.01
cantone,0.01
cao,0.01
capacitance,0.01
capacitor,0.02
caparro,0.01
capdconsulte,0.01
capel,0.01
capex,0.02
capillary,0.02
capitalisation,0.01
capitalised,0.01
capitalized,0.01
capm,0.01
capsule,0.01
capvis,0.02
car,0.05
carbon,0.02
carboxymaltose,0.01
card,0.02
cardigan,0.01
cardiology,0.01
cardiot,0.01
cardiovascular,0.01
care,0.11
careproduct,0.03
carius,0.04
carlo,0.01
carlos,0.01
carnitine,0.01
carole,0.01
carolina,0.01
carpet,0.06
carrier,0.01
carry,0.01
carryforward,0.05
cartier,0.01
cas,0.01
casablanca,0.01
casata,0.02
case,0.01
casement,0.01
cash,0.03
casin,0.01
caspar,0.03
caspian,0.01
castaño,0.01
castillo,0.01
casutt,0.03
cat,0.01
catalent,0.01
catalogue,0.01
catalyst,0.02
cate,0.02
categorie,0.01
categorise,0.02
category,0.03
cationic,0.01
causation,0.01
