Filename,CGMech
ABB Group Annual Report 2015_English-2.txt,8
ABB_02.txt,8
ABB_03.txt,8
ABB_04.txt,8
ABB_05.pdf.txt,9
ABB_06.pdf.txt,9
ABB_07.pdf.txt,9
ABB_08.pdf.txt,9
ABB_09.pdf.txt,9
ABB_11.txt,8
ABB_12.txt,8
ABB_13.txt,8
ABB_14.txt,9
ABB_Operational review 2005 English.pdf.txt,9
ABB_Operational review 2006 English.pdf.txt,8
abb-group-annual-report-2016-english.txt,8
ABB-Group-Annual-Report-2017-English.txt,8
ABB-Group-Annual-Report-2018-English.pdf.txt,9
ABB-Group-Annual-Report-2019-English.txt,8
Actelion_02.pdf.txt,9
Actelion_03.pdf.txt,9
Actelion_04.pdf.txt,8
Actelion_05.pdf.txt,10
Actelion_06.pdf.txt,9
Actelion_07.pdf.txt,9
Actelion_08.pdf.txt,9
Actelion_09.pdf.txt,9
Actelion_10.pdf.txt,9
Actelion_11.pdf.txt,9
Actelion_12.pdf.txt,9
Actelion_13.pdf.txt,9
Actelion_14I.pdf.txt,10
Actelion_14II.pdf.txt,10
Actelion_14III.pdf.txt,10
Actelion_14IV.pdf.txt,10
Actelion_2015-annual-report-business-report-en.pdf.txt,10
Actelion_2015-annual-report-compensation-report-en.pdf.txt,10
Actelion_2015-annual-report-corporate-sustainability-and-governance-report-en.pdf.txt,10
Actelion_2016-annual-report-business-report-en.pdf.txt,10
Actelion_2016-annual-report-compensation-report-en.pdf.txt,10
Actelion_2016-annual-report-corporate-sustainability-and-governance-report-en.pdf.txt,10
Addex_2007.pdf.txt,9
Addex_2008.pdf.txt,9
Addex_2009.pdf.txt,10
Addex_2010.pdf.txt,9
Addex_2011.pdf.txt,9
Addex_2012.pdf.txt,9
Addex_2013.pdf.txt,6
Addex_2014.pdf.txt,8
Addex_2015.pdf.txt,7
Addex_2016.pdf.txt,7
Addex_2017.pdf.txt,6
Addex_2018.pdf.txt,9
Addex_2019.pdf.txt,8
Adecco 2015.txt,10
Adecco 2016.pdf.txt,10
Adecco 2017.pdf.txt,10
Adecco 2018.pdf.txt,10
Adecco_ 2019 Group_2019AR.pdf.txt,10
Adecco_02.pdf.txt,9
Adecco_02Annual Report of Adecco S.A..pdf.txt,9
Adecco_02Group_Rapport-annuel.pdf.txt,9
Adecco_03.txt,9
Adecco_04.pdf.txt,8
Adecco_05.pdf.txt,7
Adecco_06.pdf.txt,8
Adecco_07.pdf.txt,7
Adecco_08.pdf.txt,10
Adecco_09.pdf.txt,10
Adecco_10.pdf.txt,10
Adecco_11.pdf.txt,10
Adecco_12.pdf.txt,10
Adecco_13.pdf.txt,10
Adecco_14.pdf.txt,10
Adval Tech 2015.pdf.txt,7
Adval Tech 2016.pdf.txt,7
Adval Tech 2017.pdf.txt,7
Adval Tech 2018.pdf.txt,7
Adval Tech 2019.pdf.txt,6
AdvalTech_02.pdf.txt,5
AdvalTech_03.pdf.txt,5
AdvalTech_04.pdf.txt,4
AdvalTech_05.pdf.txt,6
AdvalTech_06.pdf.txt,8
AdvalTech_07.pdf.txt,7
AdvalTech_08.pdf.txt,10
AdvalTech_09.pdf.txt,10
AdvalTech_10.pdf.txt,10
AdvalTech_11.pdf.txt,8
AdvalTech_12.pdf.txt,8
AdvalTech_13.pdf.txt,8
AdvalTech_14.pdf.txt,7
Affichage annual_report_2004.pdf.txt,9
Affichage annual_report_2005.pdf.txt,9
Affichage annual_report_2006.pdf.txt,8
Affichage Holding_2008_Annual_Report.pdf.txt,9
Affichage Holding_2009_Annual_Report.pdf.txt,7
Affichage Holdings 2002.pdf.txt,7
Affichage Holdings 2007.pdf.txt,9
AFG 2002.pdf.txt,5
AFG2004.pdf.txt,1
AFG2008.pdf.txt,6
AFG2009.pdf.txt,7
AFG2010.pdf.txt,7
AFG2012.pdf.txt,9
AFG2013.pdf.txt,9
AFG2014.pdf.txt,9
AFG2015.pdf.txt,9
AFG2016.pdf.txt,9
AFG2017.pdf.txt,9
Alcon_2019.pdf.txt,9
Alpiq RA 2009.pdf.txt,8
Alpiq RA 2010.pdf.txt,8
Alpiq RA 2011.pdf.txt,8
Alpiq RA 2012.pdf.txt,8
Alpiq RA 2013.txt,8
Alpiq RA 2014.txt,8
Alpiq RA 2015.txt,8
Alpiq RA 2016.txt,8
Alpiq RA 2017.txt,8
Alpiq RA 2018.txt,8
Alpiq RA 2019.txt,8
Aluflexpack_2019.pdf.txt,9
AMS_05.pdf.txt,7
AMS_06.pdf.txt,7
AMS_07.pdf.txt,7
AMS_08.pdf.txt,7
AMS_09.pdf.txt,8
AMS_10.pdf.txt,8
AMS_11.pdf.txt,8
AMS_12.pdf.txt,8
AMS_13.pdf.txt,8
AMS_14.pdf.txt,8
AMS_15.pdf.txt,9
AMS_16.pdf.txt,9
AMS_17.pdf.txt,9
AMS_18.pdf.txt,9
AMS_19.pdf.txt,9
Arbonia_GB18_gesamt_en.pdf.txt,9
Arbonia_GB19_gesamt_en.pdf.txt,9
Aryzta_09.pdf.txt,9
Aryzta_10.pdf.txt,9
Aryzta_11.pdf.txt,9
Aryzta_12.pdf.txt,9
Aryzta_13.pdf.txt,9
Aryzta_14.pdf.txt,9
Aryzta_15.pdf.txt,9
Aryzta_16.pdf.txt,9
Aryzta_17.pdf.txt,9
Aryzta_18.pdf.txt,9
Aryzta_19.pdf.txt,10
Ascom_02.pdf.txt,7
Ascom_03.pdf.txt,8
Ascom_05.pdf.txt,9
Ascom_06.pdf.txt,9
Ascom_07.pdf.txt,9
Ascom_08.pdf.txt,9
Ascom_09.pdf.txt,9
Ascom_10.pdf.txt,9
ascom-annual-report-2011-en.pdf.txt,9
ascom-annual-report-2012-en.pdf.txt,9
ascom-annual-report-2013-en.pdf.txt,9
ascom-annual-report-2014-en.pdf.txt,9
ascom-annual-report-2015.pdf.txt,8
ascom-annual-report-2016.pdf.txt,8
ascom-annual-report-2017.pdf.txt,8
ascom-annual-report-2018.pdf.txt,8
ascom-annual-report-2019.pdf.txt,8
Asmallworld_2018.pdf.txt,8
Asmallworld_2019.pdf.txt,8
Atel Holding FR 2008.pdf.txt,8
Autoneum_11.pdf.txt,9
Autoneum_12.pdf.txt,10
Autoneum_13.pdf.txt,10
Autoneum_14.pdf.txt,10
Autoneum_15.pdf.txt,10
Autoneum_16.pdf.txt,10
Autoneum_17.pdf.txt,10
Autoneum_18.pdf.txt,10
Autoneum_19.pdf.txt,10
Bachem RA 2014.pdf.txt,8
Bachem RA 2015.pdf.txt,8
Bachem RA 2016.txt,8
Bachem RA 2017.pdf.txt,8
Bachem RA 2018.pdf.txt,8
Bachem RA 2019.txt,8
Bachem_02.pdf.txt,8
Bachem_03.pdf.txt,9
Bachem_04.pdf.txt,9
Bachem_05.pdf.txt,9
Bachem_06.pdf.txt,9
Bachem_07.pdf.txt,9
Bachem_08.pdf.txt,9
Bachem_09.pdf.txt,9
Bachem_10.pdf.txt,9
Bachem_11.pdf.txt,9
Bachem_12.pdf.txt,9
Bachem_13.pdf.txt,8
Basilea_07.pdf.txt,9
Basilea_08.pdf.txt,9
Basilea_09.pdf.txt,9
Basilea_10.pdf.txt,9
Basilea_11.pdf.txt,9
Basilea_12.pdf.txt,9
Basilea_13.pdf.txt,9
Basilea_14.pdf.txt,8
Basilea_15.pdf.txt,8
Basilea_16.pdf.txt,8
Basilea_17.pdf.txt,8
Basilea_18.pdf.txt,8
Basilea_19.pdf.txt,8
Belimo_02.pdf.txt,4
Belimo_02.txt,4
Belimo_03.pdf.txt,7
Belimo_04.pdf.txt,7
Belimo_05.pdf.txt,8
Belimo_06.pdf.txt,8
Belimo_07.pdf.txt,7
Belimo_08.pdf.txt,8
Belimo_09.pdf.txt,8
Belimo_10.pdf.txt,8
Belimo_11.pdf.txt,8
Belimo_12.pdf.txt,8
Belimo_13.pdf.txt,8
Belimo_14.pdf.txt,8
Belimo_15.pdf.txt,7
Belimo_16.pdf.txt,7
Belimo_17.txt,8
Belimo_18.pdf.txt,8
Belimo_19.pdf.txt,8
bell_09-en.pdf.txt,6
bell_10-en.pdf.txt,6
Bell_11.pdf.txt,5
Bell_12.pdf.txt,5
Bell_13.pdf.txt,5
Bell_18.pdf.txt,4
Bell_19.pdf.txt,4
bell-jahresbericht-2008-en.pdf.txt,6
bell-jahresbericht-2017-en.pdf.txt,4
bell-unternehmensprofil-2017-en.pdf.txt,4
BKW03.pdf.txt,9
BKW04.pdf.txt,9
BKW05.pdf.txt,9
BKW06.pdf.txt,9
BKW07.pdf.txt,9
